"Cód.";"Município";"Produtos da silvicultura";"Número de estabelecimentos agropecuários (Unidades)";"Quantidade produzida"
"1100015";"Alta Floresta D'Oeste (RO)";"Árvore em pé (Mil metros cúbicos)";"-";"-"
"1100015";"Alta Floresta D'Oeste (RO)";"Casca de acácia negra (Toneladas)";"-";"-"
"1100015";"Alta Floresta D'Oeste (RO)";"Lenha (Mil metros cúbicos)";"1";"X"
"1100015";"Alta Floresta D'Oeste (RO)";"Madeira em tora para papel (Mil metros cúbicos)";"-";"-"
"1100015";"Alta Floresta D'Oeste (RO)";"Madeira em tora outra finalidade (Mil metros cúbicos)";"5";"11"
"1100015";"Alta Floresta D'Oeste (RO)";"Outros produtos (Toneladas)";"-";"-"
"1100015";"Alta Floresta D'Oeste (RO)";"Mudas de eucalipto (Mil unidades)";"-";"-"
"1100015";"Alta Floresta D'Oeste (RO)";"Mudas de pinheiro (Mil unidades)";"-";"-"
"1100015";"Alta Floresta D'Oeste (RO)";"Mudas de outras espécies florestais (Mil unidades)";"-";"-"
"1100023";"Ariquemes (RO)";"Árvore em pé (Mil metros cúbicos)";"-";"-"
"1100023";"Ariquemes (RO)";"Casca de acácia negra (Toneladas)";"-";"-"
"1100023";"Ariquemes (RO)";"Lenha (Mil metros cúbicos)";"-";"-"
"1100023";"Ariquemes (RO)";"Madeira em tora para papel (Mil metros cúbicos)";"-";"-"
"1100023";"Ariquemes (RO)";"Madeira em tora outra finalidade (Mil metros cúbicos)";"1";"X"
"1100023";"Ariquemes (RO)";"Outros produtos (Toneladas)";"-";"-"
"1100023";"Ariquemes (RO)";"Mudas de eucalipto (Mil unidades)";"-";"-"
"1100023";"Ariquemes (RO)";"Mudas de pinheiro (Mil unidades)";"-";"-"
"1100023";"Ariquemes (RO)";"Mudas de outras espécies florestais (Mil unidades)";"-";"-"
"1100056";"Cerejeiras (RO)";"Árvore em pé (Mil metros cúbicos)";"-";"-"
"1100056";"Cerejeiras (RO)";"Casca de acácia negra (Toneladas)";"-";"-"
"1100056";"Cerejeiras (RO)";"Lenha (Mil metros cúbicos)";"-";"-"
"1100056";"Cerejeiras (RO)";"Madeira em tora para papel (Mil metros cúbicos)";"-";"-"
"1100056";"Cerejeiras (RO)";"Madeira em tora outra finalidade (Mil metros cúbicos)";"-";"-"
"1100056";"Cerejeiras (RO)";"Outros produtos (Toneladas)";"1";"X"
"1100056";"Cerejeiras (RO)";"Mudas de eucalipto (Mil unidades)";"-";"-"
"1100056";"Cerejeiras (RO)";"Mudas de pinheiro (Mil unidades)";"-";"-"
"1100056";"Cerejeiras (RO)";"Mudas de outras espécies florestais (Mil unidades)";"-";"-"
"1100064";"Colorado do Oeste (RO)";"Árvore em pé (Mil metros cúbicos)";"-";"-"
"1100064";"Colorado do Oeste (RO)";"Casca de acácia negra (Toneladas)";"-";"-"
"1100064";"Colorado do Oeste (RO)";"Lenha (Mil metros cúbicos)";"-";"-"
"1100064";"Colorado do Oeste (RO)";"Madeira em tora para papel (Mil metros cúbicos)";"-";"-"
"1100064";"Colorado do Oeste (RO)";"Madeira em tora outra finalidade (Mil metros cúbicos)";"5";"1"
"1100064";"Colorado do Oeste (RO)";"Outros produtos (Toneladas)";"-";"-"
"1100064";"Colorado do Oeste (RO)";"Mudas de eucalipto (Mil unidades)";"-";"-"
"1100064";"Colorado do Oeste (RO)";"Mudas de pinheiro (Mil unidades)";"-";"-"
"1100064";"Colorado do Oeste (RO)";"Mudas de outras espécies florestais (Mil unidades)";"-";"-"
"1100080";"Costa Marques (RO)";"Árvore em pé (Mil metros cúbicos)";"-";"-"
"1100080";"Costa Marques (RO)";"Casca de acácia negra (Toneladas)";"-";"-"
"1100080";"Costa Marques (RO)";"Lenha (Mil metros cúbicos)";"1";"X"
"1100080";"Costa Marques (RO)";"Madeira em tora para papel (Mil metros cúbicos)";"-";"-"
"1100080";"Costa Marques (RO)";"Madeira em tora outra finalidade (Mil metros cúbicos)";"-";"-"
"1100080";"Costa Marques (RO)";"Outros produtos (Toneladas)";"-";"-"
"1100080";"Costa Marques (RO)";"Mudas de eucalipto (Mil unidades)";"-";"-"
"1100080";"Costa Marques (RO)";"Mudas de pinheiro (Mil unidades)";"-";"-"
"1100080";"Costa Marques (RO)";"Mudas de outras espécies florestais (Mil unidades)";"-";"-"
"1100130";"Machadinho D'Oeste (RO)";"Árvore em pé (Mil metros cúbicos)";"-";"-"
