"","Produtos"
"1","Abacaxi (Mil frutos)"
"2","Abóbora, moranga, jerimum (Toneladas)"
"3","Algodão herbáceo (Toneladas)"
"4","Alho (Toneladas)"
"5","Amendoim em casca (Toneladas)"
"6","Arroz em casca (Toneladas)"
"7","Aveia branca em grão (Toneladas)"
"8","Batata-inglesa (Toneladas)"
"9","Cana-de-açúcar (Toneladas)"
"10","Cebola (Toneladas)"
"11","Centeio em grão (Toneladas)"
"12","Cevada em casca (Toneladas)"
"13","Colza (canola) (Toneladas)"
"14","Ervilha em grão (Toneladas)"
"15","Fava em grão (Toneladas)"
"16","Feijão preto em grão (Toneladas)"
"17","Feijão de cor em grão (Toneladas)"
"18","Feijão fradinho em grão (Toneladas)"
"19","Feijão verde (Toneladas)"
"20","Fumo em folha seca (Toneladas)"
"21","Gergelim (semente) (Toneladas)"
"22","Girassol (semente) (Toneladas)"
"23","Juta (fibra) (Toneladas)"
"24","Linho (fibra) (Toneladas)"
"25","Malva (fibra) (Toneladas)"
"26","Mamona (Toneladas)"
"27","Mandioca (aipim, macaxeira) (Toneladas)"
"28","Melancia (Toneladas)"
"29","Melão (Toneladas)"
"30","Milho em grão (Toneladas)"
"31","Rami (fibra) (Toneladas)"
"32","Soja em grão (Toneladas)"
"33","Sorgo em grão (Toneladas)"
"34","Sorgo vassoura (Toneladas)"
"35","Tomate rasteiro (industrial) (Toneladas)"
"36","Trigo em grão (Toneladas)"
"37","Trigo preto em grão (Toneladas)"
"38","Triticale em grão (Toneladas)"
"39","Forrageiras para corte (Toneladas)"
"40","Cana forrageira (Toneladas)"
"41","Milho forrageiro (Toneladas)"
"42","Palma forrageira (Toneladas)"
"43","Sorgo forrageiro (Toneladas)"
"44","Outros produtos (Toneladas)"
"45","Sementes de algodão (produzidas para plantio) (Toneladas)"
"46","Sementes de arroz (produzidas para plantio) (Toneladas)"
"47","Sementes de feijão (produzidas para plantio) (Toneladas)"
"48","Sementes de milho (produzidas para plantio) (Toneladas)"
"49","Sementes de soja (produzidas para plantio) (Toneladas)"
"50","Sementes de trigo (produzidas para plantio) (Toneladas)"
"51","Sementes de forrageiras (produzidas para plantio) (Toneladas)"
"52","Sementes de batata-inglesa (produzidas para plantio) (Toneladas)"
"53","Toletes de cana-de-açúcar (produzidas para plantio) (Toneladas)"
"54","Sementes e outras formas de propagação de outros produtos (produzidas para plantio) (Toneladas)"
"55","Abacate (Toneladas)"
"56","Açaí (fruto) (Toneladas)"
"57","Acerola (Toneladas)"
"58","Agave, sisal (fibra) (Toneladas)"
"59","Agave, sisal (folha) (Toneladas)"
"60","Algodão arbóreo (Toneladas)"
"61","Ameixa (Toneladas)"
"62","Amora (folha) (Toneladas)"
"63","Amora (fruto) (Toneladas)"
"64","Atemoia (Toneladas)"
"65","Azeitona (oliveira) (Toneladas)"
"66","Banana (Toneladas)"
"67","Borracha (látex líquido) (Toneladas)"
"68","Borracha (látex coagulado) (Toneladas)"
"69","Cacau (amêndoa) (Toneladas)"
"70","Café arábica em grão (verde) (Toneladas)"
"71","Café canephora (robusta, conilon) em grão (verde) (Toneladas)"
"72","Cajú (castanha) (Toneladas)"
"73","Cajú (fruto) (Toneladas)"
"74","Camu-camu (Toneladas)"
"75","Caqui (Toneladas)"
"76","Carambola (Toneladas)"
"77","Chá-da-Índia (Toneladas)"
"78","Coco-da-baía (Mil frutos)"
"79","Cravo-da-Índia (Toneladas)"
"80","Dendê (coco) (Toneladas)"
"81","Erva-mate (Toneladas)"
"82","Figo (Toneladas)"
"83","Fruta-de-conde (Toneladas)"
"84","Goiaba (Toneladas)"
"85","Graviola (Mil frutos)"
"86","Guaraná (Toneladas)"
"87","Jabuticaba (Toneladas)"
"88","Jaca (Mil frutos)"
"89","Jambo (Toneladas)"
"90","kiwi (Toneladas)"
"91","Laranja (Toneladas)"
"92","Lichia (Toneladas)"
"93","Lima (Toneladas)"
"94","Limão (Toneladas)"
"95","Louro (folha) (Toneladas)"
"96","Maçã (Toneladas)"
"97","Manga (Toneladas)"
"98","Mamão (Toneladas)"
"99","Maracujá (Toneladas)"
"100","Nectarina (Toneladas)"
"101","Nêspera (Toneladas)"
"102","Noz (europeia, pecã) (Toneladas)"
"103","Palmito (Toneladas)"
"104","Pera (Toneladas)"
"105","Pêssego (Toneladas)"
"106","Pimenta-do-reino (Toneladas)"
"107","Pitaia (Toneladas)"
"108","Pitanga (Toneladas)"
"109","Romã (Toneladas)"
"110","Tangerina, bergamota, mexerica (Toneladas)"
"111","Urucum (semente) (Toneladas)"
"112","Uva (mesa) (Toneladas)"
"113","Uva (vinho ou suco) (Toneladas)"
"114","Pupunha (cacho frutos) (Toneladas)"
"115","Cupuaçu (Toneladas)"
"116","Outros produtos (Toneladas)"
"117","Mudas de café (Mil unidades)"
"118","Mudas de cacau (Mil unidades)"
"119","Mudas de cajú (Mil unidades)"
"120","Mudas de coco-da-baía (Mil unidades)"
"121","Mudas de frutas cítricas (larnja, limão, tangerina, etc.) (Mil unidades)"
"122","Mudas de mamão (Mil unidades)"
"123","Mudas de uva (Mil unidades)"
"124","Mudas de outros produtos da lavoura permanente (Mil unidades)"
"125","Aguardente de cana (Mil litros)"
"126","Algodão em pluma (Toneladas)"
"127","Caroço de algodão (Toneladas)"
"128","Arroz em grão (Toneladas)"
"129","Café torrado em grão (Toneladas)"
"130","Café torrado e moído (Toneladas)"
"131","Cajuína (Mil litros)"
"132","Creme de leite (Toneladas)"
"133","Doces e geléias (Toneladas)"
"134","Farinha de mandioca (Toneladas)"
"135","Fubá de milho (Toneladas)"
"136","Fumo em rolo ou corda (Toneladas)"
"137","Legumes e verduras (processadas) (Toneladas)"
"138","Licores (Mil litros)"
"139","Manteiga (Toneladas)"
"140","Melado (Mil litros)"
"141","Óleos vegetais (Mil litros)"
"142","Pães, bolos e biscoitos (Toneladas)"
"143","Polpa de frutas (Toneladas)"
"144","Queijo e requeijão (Toneladas)"
"145","Rapadura (Toneladas)"
"146","Sucos de frutas (Mil litros)"
"147","Vinho de uva (Mil litros)"
"148","Carne de bovinos(verde) (Toneladas)"
"149","Carne de suínos(verde) (Toneladas)"
"150","Carne de outros animais(verde) (Toneladas)"
"151","Carne tratada(de sol, salgada) (Toneladas)"
"152","Embutidos(linguiças, salsichas, etc.) (Toneladas)"
"153","Couros e peles (Toneladas)"
"154","Carvão vegetal (Toneladas)"
"155","Produtos de madeira (Mil metros cúbicos)"
"156","Outros produtos (Toneladas)"
"157","Goma ou tapioca (Toneladas)"
"158","Abobrinha (Toneladas)"
"159","Acelga (Toneladas)"
"160","Agrião (Toneladas)"
"161","Aipo (Toneladas)"
"162","Alcachofra (Toneladas)"
"163","Alcaparra (Toneladas)"
"164","Alecrim (Toneladas)"
"165","Alface (Toneladas)"
"166","Alho-porró (Toneladas)"
"167","Almeirão (Toneladas)"
"168","Aspargo (Toneladas)"
"169","Batata-baroa (mandioquinha) (Toneladas)"
"170","Batata-doce (Toneladas)"
"171","Berinjela (Toneladas)"
"172","Bertalha (Toneladas)"
"173","Beterraba (Toneladas)"
"174","Boldo (Toneladas)"
"175","Brócolis (Toneladas)"
"176","Bucha (esponja vegetal) (Toneladas)"
"177","Camomila (Toneladas)"
"178","Cará (Toneladas)"
"179","Caruru (Toneladas)"
"180","Cebolinha (Toneladas)"
"181","Cenoura (Toneladas)"
"182","Chicória (Toneladas)"
"183","Chuchu (Toneladas)"
"184","Coentro (Toneladas)"
"185","Cogumelos (Toneladas)"
"186","Couve (Toneladas)"
"187","Couve-flor (Toneladas)"
"188","Erva-doce (Toneladas)"
"189","Ervilha (vagem) (Toneladas)"
"190","Espinafre (Toneladas)"
"191","Gengibre (Toneladas)"
"192","Hortelã (Toneladas)"
"193","Inhame (Toneladas)"
"194","Jiló (Toneladas)"
"195","Lentilha (Toneladas)"
"196","Manjericão (Toneladas)"
"197","Maxixe (Toneladas)"
"198","Milho verde (espiga) (Toneladas)"
"199","Morango (Toneladas)"
"200","Mostarda (semente) (Toneladas)"
"201","Nabiça (Toneladas)"
"202","Nabo (Toneladas)"
"203","Orégano (Toneladas)"
"204","Pepino (Toneladas)"
"205","Pimenta (Toneladas)"
"206","Pimentão (Toneladas)"
"207","Quiabo (Toneladas)"
"208","Rabanete (Toneladas)"
"209","Repolho (Toneladas)"
"210","Rúcula (Toneladas)"
"211","Salsa (Toneladas)"
"212","Taioba (Toneladas)"
"213","Tomate (estaqueado) (Toneladas)"
"214","Vagem (feijão vagem) (Toneladas)"
"215","Outros produtos (Toneladas)"
"216","Sementes (produzidas para plantio) (Toneladas)"
"217","Mudas e outras formas de propagação (produzidas para plantio) (Mil unidades)"
"218","Árvore em pé (Mil metros cúbicos)"
"219","Casca de acácia negra (Toneladas)"
"220","Lenha (Mil metros cúbicos)"
"221","Madeira em tora para papel (Mil metros cúbicos)"
"222","Madeira em tora outra finalidade (Mil metros cúbicos)"
"223","Outros produtos (Toneladas)"
"224","Mudas de eucalipto (Mil unidades)"
"225","Mudas de pinheiro (Mil unidades)"
"226","Mudas de outras espécies florestais (Mil unidades)"
